                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.8957,                 2.0073,                 2.3283,                0.79148,                0.29825,                 0.4445,                0.21528,                 1.9235,                 2.0831,                 2.3578,              0.0005908,              0.0005908,              0.0005908
                     65,                 1.9046,                 2.0936,                 2.3049,                0.63282,                0.39747,                0.46216,                0.24155,                 1.8109,                 2.0284,                 2.3148,              0.0005842,              0.0005842,              0.0005842
                     66,                 1.7384,                 1.9108,                 2.2426,                 0.5864,                0.37911,                0.40926,                0.22481,                  1.735,                 2.0396,                 2.2776,              0.0005776,              0.0005776,              0.0005776
                     67,                 1.8945,                 2.0554,                 2.2904,                 0.5486,                0.37971,                0.42123,                0.22528,                 1.7043,                 2.0332,                  2.238,               0.000571,               0.000571,               0.000571
                     68,                 1.8569,                  2.189,                 2.3344,                0.62262,                 0.4155,                0.47576,                0.26819,                 1.6396,                 1.8763,                 2.1668,              0.0005644,              0.0005644,              0.0005644
                     69,                 1.8371,                 1.9727,                 2.2705,                0.63284,                 0.4002,                0.47217,                0.25695,                 1.7012,                 1.8948,                 2.1918,              0.0005578,              0.0005578,              0.0005578
                     70,                 1.7818,                 2.0665,                 2.2213,                0.57026,                0.48835,                 0.4802,                0.27105,                 1.6581,                 1.8502,                 2.1893,              0.0005512,              0.0005512,              0.0005512
                     71,                 1.7725,                 2.0071,                  2.259,                0.62392,                0.49073,                 0.4878,                0.26257,                 1.6489,                 1.8524,                 2.1569,              0.0005446,              0.0005446,              0.0005446
                     72,                 1.7677,                  1.965,                 2.2349,                0.70139,                0.46585,                0.49816,                0.27713,                 1.6822,                  1.814,                 2.1392,               0.000538,               0.000538,               0.000538
                     73,                 1.8789,                 2.0043,                 2.2455,                0.69506,                  0.444,                0.50013,                0.27183,                 1.6739,                  1.788,                 2.1526,              0.0005314,              0.0005314,              0.0005314
                     74,                 1.7565,                 1.8622,                 2.1928,                 0.6894,                 0.4434,                0.53569,                0.28541,                 1.6384,                 1.7652,                 2.1496,              0.0005248,              0.0005248,              0.0005248
                     75,                 1.7112,                 1.7919,                  2.187,                0.73469,                0.44587,                0.54411,                0.31784,                  1.569,                 1.7056,                  2.102,              0.0005182,              0.0005182,              0.0005182
                     76,                 1.8111,                 1.8684,                 2.1896,                0.73366,                0.45297,                0.53377,                0.32132,                 1.5575,                 1.7255,                 2.1014,              0.0005116,              0.0005116,              0.0005116
                     77,                 1.7061,                 1.8204,                 2.1645,                0.68205,                0.44301,                0.51645,                 0.3143,                 1.5289,                 1.7931,                 2.1084,               0.000505,               0.000505,               0.000505
                     78,                 1.7685,                 1.8057,                 2.1615,                0.65406,                0.43805,                0.51374,                0.31112,                 1.5476,                 1.7669,                 2.0928,              0.0004984,              0.0004984,              0.0004984
                     79,                 1.7341,                 1.7929,                 2.1405,                0.77377,                0.44027,                0.52015,                0.30159,                  1.612,                 1.6603,                 2.0902,              0.0004918,              0.0004918,              0.0004918
                     80,                 1.6986,                 1.7808,                 2.1573,                0.67305,                0.53496,                0.54218,                 0.3137,                 1.5451,                 1.5969,                 2.0804,              0.0004852,              0.0004852,              0.0004852
                     81,                 1.7074,                 1.7397,                 2.1407,                0.66554,                0.51706,                0.56672,                0.34924,                 1.5136,                 1.5552,                 2.0263,              0.0004786,              0.0004786,              0.0004786
                     82,                 1.6814,                 1.7219,                 2.1071,                0.63168,                0.53294,                0.56325,                0.34264,                 1.5034,                 1.6214,                  2.013,               0.000472,               0.000472,               0.000472
                     83,                 1.6588,                 1.7798,                 2.1162,                0.70651,                0.53568,                0.57752,                0.35072,                 1.4523,                 1.6022,                 2.0101,              0.0004654,              0.0004654,              0.0004654
                     84,                 1.7043,                  1.774,                 2.1414,                0.82169,                0.50043,                0.59644,                0.35351,                 1.5206,                 1.5838,                 2.0413,              0.0004588,              0.0004588,              0.0004588
                     85,                 1.7951,                 1.8154,                 2.1609,                0.76099,                0.48988,                0.59448,                0.33863,                 1.5607,                 1.6068,                 2.0518,              0.0004522,              0.0004522,              0.0004522
                     86,                 1.7221,                 1.7873,                 2.1512,                0.67418,                0.51702,                0.57724,                0.34508,                 1.5071,                 1.5916,                 2.0268,              0.0004456,              0.0004456,              0.0004456
                     87,                  1.714,                 1.6637,                 2.1339,                0.70213,                0.48765,                0.58408,                0.35704,                 1.4608,                 1.5453,                  1.983,               0.000439,               0.000439,               0.000439
                     88,                 1.6683,                 1.7067,                 2.0937,                 0.8021,                0.47959,                0.60357,                0.35342,                 1.4927,                 1.5485,                 1.9671,              0.0004324,              0.0004324,              0.0004324
                     89,                 1.5958,                 1.5743,                 2.0586,                0.64165,                0.53957,                0.61685,                0.37397,                 1.4291,                 1.5266,                 1.9284,              0.0004258,              0.0004258,              0.0004258
                     90,                 1.6348,                 1.7169,                  2.107,                0.68726,                0.53003,                0.61612,                0.38749,                 1.4267,                 1.4864,                 1.9281,              0.0004192,              0.0004192,              0.0004192
                     91,                 1.6444,                 1.6094,                 2.0829,                0.65286,                0.52776,                0.61076,                0.38482,                 1.4597,                 1.4917,                 1.9531,              0.0004126,              0.0004126,              0.0004126
                     92,                 1.6004,                  1.621,                 2.0241,                0.74421,                0.50289,                0.61598,                0.38769,                 1.3999,                 1.4745,                  1.914,               0.000406,               0.000406,               0.000406
                     93,                 1.6028,                 1.6712,                 2.0632,                0.70025,                0.55963,                0.63031,                0.38558,                 1.4098,                 1.4904,                 1.9075,              0.0003994,              0.0003994,              0.0003994
                     94,                 1.5631,                 1.6462,                 2.0361,                0.73434,                0.56454,                0.63255,                0.39238,                 1.3851,                 1.3926,                 1.8861,              0.0003928,              0.0003928,              0.0003928
                     95,                 1.5713,                 1.5519,                 1.9843,                0.76047,                0.53097,                0.62298,                0.38149,                 1.4443,                 1.4327,                 1.9109,              0.0003862,              0.0003862,              0.0003862
                     96,                 1.6232,                 1.6478,                 2.0286,                0.73232,                0.53294,                0.63028,                0.39791,                 1.4167,                 1.4323,                 1.8894,              0.0003796,              0.0003796,              0.0003796
                     97,                 1.5886,                 1.6115,                 2.0162,                 0.7715,                0.53298,                0.63334,                0.40527,                 1.3958,                 1.4208,                 1.8681,               0.000373,               0.000373,               0.000373
                     98,                 1.5384,                 1.6261,                 1.9879,                0.63924,                0.60102,                0.61783,                0.38047,                 1.3788,                 1.5101,                 1.8702,              0.0003664,              0.0003664,              0.0003664
                     99,                 1.5243,                 1.5678,                  2.018,                0.62838,                  0.613,                0.62742,                0.39477,                 1.3586,                 1.5078,                 1.8594,              0.0003598,              0.0003598,              0.0003598
                    100,                 1.5953,                 1.6582,                 2.0629,                0.71729,                0.57042,                 0.6622,                0.41359,                 1.3673,                  1.442,                 1.8628,              0.0003532,              0.0003532,              0.0003532
                    101,                 1.5589,                  1.554,                 2.0071,                0.71966,                0.59499,                 0.6673,                 0.4233,                 1.3691,                 1.3984,                 1.8685,              0.0003466,              0.0003466,              0.0003466
                    102,                 1.5302,                 1.5238,                 1.9951,                0.65326,                0.61468,                0.66011,                0.42378,                 1.3494,                 1.3833,                 1.8482,                0.00034,                0.00034,                0.00034
                    103,                 1.5666,                 1.6277,                  2.033,                0.70188,                0.58678,                 0.6565,                0.42466,                 1.3415,                 1.3957,                 1.8303,              0.0003334,              0.0003334,              0.0003334
                    104,                 1.4931,                  1.528,                 1.9143,                0.65348,                0.65197,                0.66769,                0.42354,                 1.3489,                 1.3757,                  1.837,              0.0003268,              0.0003268,              0.0003268
                    105,                 1.5688,                 1.5904,                 2.0204,                0.67416,                0.63741,                0.67969,                0.42927,                 1.3513,                 1.2942,                 1.8442,              0.0003202,              0.0003202,              0.0003202
                    106,                 1.5245,                 1.4895,                 1.9823,                0.70551,                0.59837,                0.67049,                0.42806,                 1.3221,                 1.2983,                 1.8289,              0.0003136,              0.0003136,              0.0003136
                    107,                 1.5834,                   1.61,                 2.0214,                0.74529,                0.57273,                0.67385,                0.42383,                 1.4003,                 1.3128,                 1.8772,               0.000307,               0.000307,               0.000307
