                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.2162,                0.86804,                 1.3094,                0.67841,                0.78754,                0.74965,                0.49492,                 1.0317,                0.72968,                 1.2276,             0.00084703,             0.00084703,             0.00084703
                     75,                 1.1857,                0.83423,                 1.2899,                0.67819,                0.77214,                0.75783,                0.47725,                 1.0932,                0.69627,                 1.2598,             0.00084336,             0.00084336,             0.00084336
                     76,                 1.2115,                0.85398,                 1.2888,                0.73559,                0.75038,                0.77256,                0.48824,                 1.0936,                0.68817,                 1.2588,             0.00083969,             0.00083969,             0.00083969
                     77,                 1.2076,                0.82304,                 1.2813,                0.72159,                0.71693,                0.73614,                0.47103,                 1.0883,                 0.7193,                 1.2617,             0.00083603,             0.00083603,             0.00083603
                     78,                   1.22,                0.97391,                 1.3196,                0.67376,                0.81336,                0.77365,                0.48871,                  1.079,                0.67325,                 1.2472,             0.00083236,             0.00083236,             0.00083236
                     79,                 1.2017,                0.82587,                 1.3002,                0.71454,                 0.8247,                0.79019,                0.51261,                 1.0522,                 0.6749,                 1.2383,             0.00082869,             0.00082869,             0.00082869
                     80,                 1.1708,                0.85107,                 1.2862,                0.70695,                0.75565,                0.77916,                0.51097,                 1.0271,                0.74509,                 1.2235,             0.00082503,             0.00082503,             0.00082503
                     81,                  1.172,                0.82964,                 1.2743,                0.70562,                0.78438,                0.78761,                0.51035,                 1.0641,                0.69007,                 1.2403,             0.00082136,             0.00082136,             0.00082136
                     82,                 1.1971,                0.82525,                 1.3027,                0.67992,                0.75172,                0.77045,                0.49987,                 1.0548,                0.66615,                 1.2372,              0.0008177,              0.0008177,              0.0008177
                     83,                 1.1743,                0.81604,                 1.2754,                0.74933,                0.81046,                0.81235,                0.52123,                 1.0404,                0.67182,                 1.2314,             0.00081403,             0.00081403,             0.00081403
                     84,                 1.1915,                 0.8256,                 1.2761,                0.72302,                0.82329,                0.80748,                0.52523,                 1.0311,                0.65063,                 1.2192,             0.00081036,             0.00081036,             0.00081036
                     85,                 1.1795,                0.80869,                 1.2682,                0.75227,                0.79838,                0.80962,                0.52591,                 1.0154,                0.63397,                 1.2098,              0.0008067,              0.0008067,              0.0008067
                     86,                 1.1824,                0.81531,                 1.2621,                0.72093,                0.79128,                0.79037,                 0.5236,                 1.0156,                0.65034,                  1.212,             0.00080303,             0.00080303,             0.00080303
                     87,                 1.1576,                0.80157,                 1.2672,                0.72535,                0.80322,                0.82651,                0.53939,                 1.0286,                0.63361,                 1.2153,             0.00079936,             0.00079936,             0.00079936
                     88,                 1.1379,                0.78664,                 1.2595,                0.75777,                 0.8393,                0.82926,                 0.5483,                0.99262,                0.64951,                 1.1971,              0.0007957,              0.0007957,              0.0007957
                     89,                 1.1324,                0.77948,                 1.2447,                0.71572,                0.80264,                0.80686,                0.52881,                 1.0071,                0.63518,                 1.2067,             0.00079203,             0.00079203,             0.00079203
                     90,                 1.1406,                0.80394,                 1.2354,                0.75835,                0.77604,                0.82417,                0.54895,                 1.0134,                0.65846,                 1.2089,             0.00078837,             0.00078837,             0.00078837
                     91,                 1.1599,                 0.7925,                 1.2868,                0.75479,                0.81854,                0.82729,                0.53274,                 1.0591,                0.64523,                 1.2215,              0.0007847,              0.0007847,              0.0007847
                     92,                 1.1622,                0.81676,                 1.2765,                0.74977,                0.81382,                0.81496,                 0.5456,                0.98946,                0.64981,                 1.1949,             0.00078103,             0.00078103,             0.00078103
                     93,                  1.155,                0.81159,                 1.2654,                0.71707,                0.74985,                0.78475,                0.52403,                 1.0304,                0.70157,                 1.2198,             0.00077737,             0.00077737,             0.00077737
                     94,                 1.1585,                0.82365,                 1.2642,                0.72066,                0.80014,                0.79952,                0.52217,                 1.0711,                0.64886,                 1.2453,              0.0007737,              0.0007737,              0.0007737
                     95,                 1.1431,                0.74748,                  1.243,                0.74406,                0.84386,                0.84771,                0.57156,                0.98276,                0.62924,                 1.1826,             0.00077003,             0.00077003,             0.00077003
                     96,                 1.1351,                 0.7853,                 1.2511,                0.75963,                0.81531,                0.83429,                0.55132,                 0.9911,                0.62981,                 1.1908,             0.00076637,             0.00076637,             0.00076637
                     97,                 1.1304,                 0.7696,                 1.2457,                0.79222,                0.82861,                0.85272,                 0.5743,                0.98409,                0.63475,                 1.1837,              0.0007627,              0.0007627,              0.0007627
                     98,                 1.1312,                0.78073,                 1.2335,                0.74609,                0.75471,                0.80564,                0.53181,                 1.0001,                0.68119,                 1.1908,             0.00075904,             0.00075904,             0.00075904
                     99,                 1.1676,                0.78453,                 1.2537,                0.77519,                0.77282,                0.81326,                0.54206,                 1.0125,                0.60721,                 1.2049,             0.00075537,             0.00075537,             0.00075537
                    100,                  1.137,                 0.7632,                 1.2281,                0.77654,                0.81882,                0.83825,                0.56534,                0.97633,                0.60397,                 1.1751,              0.0007517,              0.0007517,              0.0007517
                    101,                 1.1266,                0.73514,                 1.2439,                 0.7586,                0.81429,                0.82158,                0.55728,                0.98433,                0.61673,                 1.1797,             0.00074804,             0.00074804,             0.00074804
                    102,                 1.1172,                0.73327,                 1.2431,                0.76093,                0.82322,                0.83678,                0.56977,                0.98012,                0.59681,                 1.1833,             0.00074437,             0.00074437,             0.00074437
                    103,                 1.1139,                0.76845,                  1.233,                0.74547,                0.84512,                 0.8614,                0.58988,                0.95467,                0.59253,                 1.1689,              0.0007407,              0.0007407,              0.0007407
                    104,                 1.1162,                0.74005,                 1.2053,                0.82444,                0.76488,                0.84328,                0.57403,                  0.965,                0.59533,                 1.1729,             0.00073704,             0.00073704,             0.00073704
                    105,                 1.1077,                0.75357,                 1.2459,                 0.7637,                0.82262,                0.83685,                0.57461,                0.98139,                0.61687,                 1.1849,             0.00073337,             0.00073337,             0.00073337
                    106,                 1.0985,                0.74558,                 1.2142,                0.72291,                0.87577,                 0.8347,                0.55758,                 1.0218,                0.61622,                 1.2111,              0.0007297,              0.0007297,              0.0007297
